rec.version/U/1,rec.eventID/U/1,rec.runID/U/1,rec.timeSliceID/U/1,rec.trigger_flags/U/1,rec.event_flags/U/1,rec.gtc_flags/U/1,rec.gpsSec/U/1,rec.gpsNanosec/U/1,rec.nChTot/U/1,rec.nChAvail/U/1,rec.nHitTot/U/1,rec.nHit/U/1,rec.nHitSP10/U/1,rec.nHitSP20/U/1,rec.nTankTot/U/1,rec.nTankAvail/U/1,rec.nTankHitTot/U/1,rec.nTankHit/U/1,rec.CxPE30PMT/U/1,rec.CxPE40PMT/U/1,rec.CxPE50PMT/U/1,rec.CxPE30XnCh/U/1,rec.CxPE40XnCh/U/1,rec.CxPE50XnCh/U/1,rec.angleFitStatus/U/1,rec.angleFitNdof/U/1,rec.planeFitStatus/U/1,rec.coreFitNdof/U/1,rec.coreFitStatus/U/1,rec.CxPE30/F/0.01,rec.CxPE40/F/0.01,rec.CxPE50/F/0.01,rec.CxPE30SPTime/F/0.1,rec.CxPE40SPTime/F/0.1,rec.CxPE50SPTime/F/0.1,rec.zenithAngle/F/0.0001,rec.azimuthAngle/F/0.0001,rec.dec/F/0.0001,rec.ra/F/0.0001,rec.angleFitChi2/F/0.01,rec.planeZenith/F/0.0001,rec.planeAzimuth/F/0.0001,rec.planeDec/F/0.0001,rec.planeRa/F/0.0001,rec.coreX/F/0.1,rec.coreY/F/0.1,rec.logCoreAmplitude/F/0.1,rec.showerAge/F/0.1,rec.coreFitUnc/F/0.1,rec.coreFitChi2/F/0.01,rec.logMaxPE/F/0.01,rec.logNPE/F/0.01,rec.logEnergy/F/0.01
5,50,2054,1125001,1,0,3,1100001987,630932223,822,804,88,49,26,33,230,230,34,27,1018,1018,1018,14,21,25,0,43,0,42,0,11.96,11.96,11.96,30.9,30.9,30.9,0.2203,-1.8659,0.1201,2.3402,458.8,0.0263,-1.3505,0.3058,2.4103,-10.6,295.1,3.4,0,0.2,424.79,1.55,2.29,0.85
5,51,2054,1125001,1,0,3,1100001987,630988077,822,820,85,48,10,11,230,230,43,31,653,653,532,5,8,15,0,43,0,42,0,10.64,10.64,9.12,-4.1,-4.1,25.1,0.3872,0.5415,0.5068,2.7834,701.2,0.4072,0.5739,0.5261,2.7991,-9.2,202.5,2.8,0,0.7,301.15,1.48,2.22,0.85
5,52,2054,1125001,1,0,3,1100001987,631303882,822,817,104,74,46,52,230,230,46,36,1006,1006,1006,25,28,37,0,71,0,70,0,31.35,31.35,31.35,3.7,3.7,3.7,0.396,2.0949,0.6637,2.1567,790.38,0.3754,2.0107,0.6643,2.2047,16.1,205.6,3.6,0,1.4,4164.86,1.7,2.65,0.85
5,53,2054,1125001,1,0,3,1100001987,631335176,822,817,87,38,13,22,230,230,40,24,588,588,588,17,18,21,0,36,0,35,0,4.47,4.47,4.47,8.09999999999999,8.1,8.1,0.2875,2.0562,0.5814,2.2453,580.54,0.3531,1.8805,0.6647,2.27,36.3,264.5,4.3,0,200,1762.71,3.7,3.72,0.85
5,54,2054,1125001,1,0,3,1100001987,631460646,822,798,201,116,85,103,230,228,74,53,544,544,544,62,76,80,0,116,0,115,0,21.42,21.42,21.42,20.9,20.9,20.9,0.2309,-1.4865,0.1014,2.4237,1021.28,0.2293,-1.4869,0.1029,2.4235,71.4,294.4,4,0,0.5,3135.12,2.11,2.93,0.85
5,55,2054,1125001,1,0,3,1100001987,631610103,822,814,89,63,16,25,230,230,43,36,437,437,437,4,6,10,0,59,0,58,0,70.58,70.58,70.58,-49.9,-49.9,-49.9,0.5332,-2.2313,-0.0993999999999999,2.0855,965.84,0.5513,-2.262,-0.1046,2.0619,101.2,284,3.6,0,0,80168.36,3.85,3.89,0.85
5,56,2054,1125001,1,0,3,1100001987,631614414,822,802,200,162,112,139,230,229,80,72,905,905,511,0,4,18,0,151,0,150,0,170.49,170.49,127.19,1.7,1.7,14.8,0.4554,-0.3251,0.1601,2.8402,1282.24,0.4511,-0.342,0.1552,2.833,-49.9,330,5.4,0,83.5,99214.54,2.46,3.29,0.85
5,57,2054,1125001,1,8,3,1100001987,631657526,822,818,613,544,360,446,230,230,205,204,777,777,777,0,13,57,0,541,0,540,0,145.76,145.76,145.76,-2.1,-2.1,-2.1,0.5105,-2.4516,-0.0102,2.0179,4540.92,0.5175,-2.4508,-0.0152,2.0131,-53.1,247.8,5.5,0,22,17295.66,2.48,3.68,0.85
5,58,2054,1125001,1,8,3,1100001987,631669260,822,810,105,52,34,38,230,230,43,26,997,700,700,7,23,24,0,49,0,48,0,32.66,10.71,10.71,-5.1,4.6,4.6,0.7416,-2.7612,0.00290000000000001,1.7264,536.78,0.7745,-2.7974,0.00950000000000006,1.6857,0.300000000000011,208.7,3.6,0,0,2895.58,3.7,3.73,0.85
5,59,2054,1125001,1,0,3,1100001987,631705917,822,811,78,45,28,37,230,229,26,19,609,82,82,16,24,25,0,44,0,43,0,61.07,12.7,12.7,10.3,27.2,27.2,0.2474,-0.4575,0.2149,2.6311,478.07,0.2263,-0.6937,0.1825,2.5807,26.2,220,3.9,0,0.1,5518.03,2.07,2.75,0.85
